USERID,USERNAME,USERFOLLOWERS,TEXT,CREATED,POLARITY,SUBJECTIVITY,SENTIMENT
1233151440580993024,adeyefa_codes,973,@thatsknotmaname We need this,2020-02-27 22:06:28,0.0,0.0,NEGATIVE
1233077984799678468,adeyefa_codes,973,Fact https://t.co/sOKh8FuxQI,2020-02-27 17:14:35,0.0,0.0,NEGATIVE
1233062342885289987,adeyefa_codes,973,"RT @LisaForteUK: Cyber crime official reporting in the UK is a poorly designed, underfunded and broken system. 

How do you report cyber cr…",2020-02-27 16:12:26,-0.4,0.5,NEGATIVE
1233035675835998208,adeyefa_codes,973,They never learn https://t.co/UHBMNSgaLi,2020-02-27 14:26:28,0.0,0.0,NEGATIVE
1233034388352401410,adeyefa_codes,973,@The_8bitCyborg True,2020-02-27 14:21:21,0.35,0.65,POSITIVE
1233025837961826305,buka4rill,400,@adeyefa_codes It's more of a crime that Falz is on this😂,2020-02-27 13:47:22,0.5,0.5,POSITIVE
1233023543727861763,The_8bitCyborg,648,"@adeyefa_codes I feel like that show, and silicon valley is the most accurate depiction of what it is to be a coder and stuff.",2020-02-27 13:38:15,0.45000000000000007,0.5666666666666667,POSITIVE
1233019832112701440,adeyefa_codes,973,It's a crime that Mr Robot is not listed here. https://t.co/mCStkjrbRn,2020-02-27 13:23:31,0.0,0.0,NEGATIVE
1233019371515207680,adeyefa_codes,973,"@ScousePedro Past tense of lend, when you borrow someone something 🤷‍♂️🤷‍♂️",2020-02-27 13:21:41,-0.29166666666666663,0.375,NEGATIVE
1232956655043842048,adeyefa_codes,973,@jola_adebayor We don tell am,2020-02-27 09:12:28,0.0,0.0,NEGATIVE
1232946104045572097,_H3avensent,530,"@adeyefa_codes @imasuen_design @nedyudombat Walahi
ALC 4 is no longer doing well",2020-02-27 08:30:32,0.0,0.0,NEGATIVE
1232818427150159873,adeyefa_codes,973,@saniyusuf We shall,2020-02-27 00:03:12,0.0,0.0,NEGATIVE
1232788194451652610,adeyefa_codes,973,@phwd Great work,2020-02-26 22:03:04,0.8,0.75,POSITIVE
1232782630761959425,adeyefa_codes,973,"@jola_adebayor I refuse to comment on this case, eyes have seen things",2020-02-26 21:40:57,0.0,0.0,NEGATIVE
1232768827936694284,adeyefa_codes,973,"@imasuen_design @nedyudombat I swear, I need the full gist at once",2020-02-26 20:46:06,0.35,0.55,POSITIVE
1232741566239985665,adeyefa_codes,973,@buka4rill 🙄🙄 SARS will soon stop you in Lagos,2020-02-26 18:57:47,0.0,0.0,NEGATIVE
1232740245801721858,buka4rill,400,@adeyefa_codes where u wan go before? Anywhere dey that Ogun state sef🙄😒😅,2020-02-26 18:52:32,-0.2,0.15000000000000002,NEGATIVE
1232705781004427264,adeyefa_codes,973,"Good news for me, now I can go out in peace https://t.co/S3DxWqQ6k0",2020-02-26 16:35:35,0.7,0.6000000000000001,POSITIVE
